question;answer
В каком году закончилось движение Поп-арт?;1700
Какое движение последовало за движением Ориентализм?;Барокко
Из какой страны происходит Вильгельм Лейбль?;Германия
Из какой страны происходит Колантонио?;Неаполитанское королевство
В каком году родился/родилась Франсуа Буше?;1703
В каком году было создано произведение "Похищение Европы"?;1632
Какое движение последовало за движением Раннее Возрождение?;Высокий ренессанс
В каком году закончилось движение Экспрессионизм?;1700
Кто создал произведение "Даная (картина Тициана, 1553—1554)"?;Тициан
К какому движению принадлежит произведение "Женщина, держащая весы"?;Золотой век голландской живописи
В каком году закончилось движение Сюрреализм?;1700
Из какой страны происходит Генри Уоллис?;Великобритания
В каком году умер/умерла Оскар Густав Рейландер?;1875
Из какой страны происходит Чимабуэ?;Флорентийская республика
Какое движение последовало за движением Модерн?;Ар-деко
Кто создал произведение "Ослепление Самсона"?;Рембрандт
В каком году было создано произведение "Портрет пожилого мужчины"?;1475
В каком году родился/родилась Леон Комер?;1850
К какому движению принадлежит произведение "Пейзаж. Сена в Аньере"?;Импрессионизм
К какому движению принадлежит произведение "Горы в утреннем тумане"?;Романтизм
Кто создал произведение "Автопортрет"?;Каспар Давид Фридрих
В каком году было создано произведение "Рождественская песнь"?;1867
Кто создал произведение "Сюрреалистическая композиция"?;Сальвадор Дали
В каком году родился/родилась Франческо Мельци?;1491
В каком году было создано произведение "Кафе в Арле"?;1888
К какому движению принадлежит Элен де Кунинг?;Абстрактный экспрессионизм
Какое движение последовало за движением Вулканическая школа?;Барокко
В каком году было создано произведение "Урок музыки"?;1662
В каком году было создано произведение "Пейзаж. Сена в Аньере"?;1873
Из какой страны происходит Герасименко Сергей Константинович?;Украина
В каком году было создано произведение "Портрет пожилой женщины (картина Мемлинга, 1468—1470)"?;1475
К какому движению принадлежит произведение "Таитянские женщины на побережье"?;Постимпрессионизм
Кто создал произведение "Еврейская невеста"?;Рембрандт
Какое движение последовало за движением Пуантилизм?;Раннее возрождение
В каком году закончилось движение Экспрессионизм?;1700
В каком году было создано произведение "Любовь земная и Любовь небесная"?;1514
Какое движение последовало за движением Итальянское Возрождение?;Постимпрессионизм
К какому движению принадлежит произведение "Поклонение Святой Троице"?;Немецкое Возрождение
Кто создал произведение "Арабский рынок наложниц"?;Жан-Леон Жером
Какое движение последовало за движением Пуантилизм?;Раннее возрождение
В каком году родился/родилась Энтони Фредерик Огастас Сэндис?;1829
В каком году родился/родилась Альбер-Шарль Лебур?;1849
В каком году закончилось движение Рококо?;1900
В каком году родился/родилась Марисоль Эскобар?;1930
В каком году было создано произведение "Женщина с ведрами. Динамическая композиция «Крестьянки с ведрами»"?;1912
В каком году зародилось движение Современное искусство?;1800
В каком году закончилось движение Барокко?;1750
Кто создал произведение "Монах у моря"?;Каспар Давид Фридрих
К какому движению принадлежит Альбер Глез?;Кубизм
К какому движению принадлежит Войцех Бобовский?;Барокко в живописи
Из какой страны происходит Отто Дикс?;Германия
К какому движению принадлежит Томас Моран?;Школа реки Гудзон
В каком году закончилось движение Романтизм?;1900
Какое движение предшествовало движению Каталонский модернизм?;Импрессионизм
В каком году умер/умерла Ньюэлл Конверс Уайет?;1945
